sample	strain	background	seq_pool	genotype_top	genotype_2nd	transcript	ens_gene	ext_gene	tpm
JU2106_GZ_B10_H7_pool2022	JU2106	JU2106	pool2022	ALT	ALT	C41D11.1d.1	WBGene00016561	eri-6	3.85874611038798
JU2141_GZ_B10_A6_ECA3100_pool2022	ECA3100	JU2141	pool2022	ALT	REF	C41D11.1d.1	WBGene00016561	eri-6	3.66792887596286
JU2141_GZ_B10_B8_ECA3099_pool2022	ECA3099	JU2141	pool2022	ALT	REF	C41D11.1d.1	WBGene00016561	eri-6	5.45773817327098
JU2141_GZ_B10_B9_ECA3100_pool2022	ECA3100	JU2141	pool2022	ALT	REF	C41D11.1d.1	WBGene00016561	eri-6	4.92727477680689
JU2141_GZ_B10_C5_pool2022	JU2141	JU2141	pool2022	REF	REF	C41D11.1d.1	WBGene00016561	eri-6	6.23210810516969
JU2141_GZ_B10_D2_ECA3099_pool2022	ECA3099	JU2141	pool2022	ALT	REF	C41D11.1d.1	WBGene00016561	eri-6	4.03675508450715
JU2141_GZ_B10_D8_pool2022	JU2141	JU2141	pool2022	REF	REF	C41D11.1d.1	WBGene00016561	eri-6	2.6686854458898
JU2141_GZ_B10_E5_ECA3099_pool2022	ECA3099	JU2141	pool2022	ALT	REF	C41D11.1d.1	WBGene00016561	eri-6	4.61024983077812
JU2141_GZ_B10_E6_ECA3100_pool2022	ECA3100	JU2141	pool2022	ALT	REF	C41D11.1d.1	WBGene00016561	eri-6	3.14703970389257
JU2141_GZ_B10_G5_pool2022	JU2141	JU2141	pool2022	REF	REF	C41D11.1d.1	WBGene00016561	eri-6	5.02487511873453
JU2141_GZ_B10_H2_ECA3099_pool2022	ECA3099	JU2141	pool2022	ALT	REF	C41D11.1d.1	WBGene00016561	eri-6	3.52294265008513
JU2141_GZ_B10_H3_ECA3100_pool2022	ECA3100	JU2141	pool2022	ALT	REF	C41D11.1d.1	WBGene00016561	eri-6	3.23870916893926
JU2141_GZ_B10_H8_pool2022	JU2141	JU2141	pool2022	REF	REF	C41D11.1d.1	WBGene00016561	eri-6	3.50929390888739
JU3144_GZ_B10_A2_ECA3096_pool2022	ECA3096	JU3144	pool2022	ALT	REF	C41D11.1d.1	WBGene00016561	eri-6	5.42046615921924
JU3144_GZ_B10_A3_ECA3097_pool2022	ECA3097	JU3144	pool2022	ALT	REF	C41D11.1d.1	WBGene00016561	eri-6	6.44899372223617
JU3144_GZ_B10_B5_ECA3096_pool2022	ECA3096	JU3144	pool2022	ALT	REF	C41D11.1d.1	WBGene00016561	eri-6	4.74253352465575
JU3144_GZ_B10_C6_pool2022	JU3144	JU3144	pool2022	REF	REF	C41D11.1d.1	WBGene00016561	eri-6	4.95158953264008
JU3144_GZ_B10_C8_ECA3096_pool2022	ECA3096	JU3144	pool2022	ALT	REF	C41D11.1d.1	WBGene00016561	eri-6	3.00349570523216
JU3144_GZ_B10_C9_ECA3097_pool2022	ECA3097	JU3144	pool2022	ALT	REF	C41D11.1d.1	WBGene00016561	eri-6	3.84767279925709
JU3144_GZ_B10_D9_pool2022	JU3144	JU3144	pool2022	REF	REF	C41D11.1d.1	WBGene00016561	eri-6	3.03264662218546
JU3144_GZ_B10_F3_pool2022	JU3144	JU3144	pool2022	REF	REF	C41D11.1d.1	WBGene00016561	eri-6	3.22631748597788
JU3144_GZ_B10_F6_ECA3097_pool2022	ECA3097	JU3144	pool2022	ALT	REF	C41D11.1d.1	WBGene00016561	eri-6	3.94661488664804
JU3144_GZ_B10_G6_pool2022	JU3144	JU3144	pool2022	REF	REF	C41D11.1d.1	WBGene00016561	eri-6	5.3416645178758
JU3144_GZ_B10_G8_ECA3096_pool2022	ECA3096	JU3144	pool2022	ALT	REF	C41D11.1d.1	WBGene00016561	eri-6	4.48427257825145
JU3144_GZ_B10_G9_ECA3097_pool2022	ECA3097	JU3144	pool2022	ALT	REF	C41D11.1d.1	WBGene00016561	eri-6	4.25568837641229
JU3144_GZ_B10_H9_pool2022	JU3144	JU3144	pool2022	REF	REF	C41D11.1d.1	WBGene00016561	eri-6	4.34536814698174
JU642_GZ_B10_A9_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1d.1	WBGene00016561	eri-6	3.70332206718762
JU642_GZ_B10_C1_ECA3101_pool2022	ECA3101	JU642	pool2022	REF	ALT	C41D11.1d.1	WBGene00016561	eri-6	3.86965486839701
JU642_GZ_B10_C2_ECA3102_pool2022	ECA3102	JU642	pool2022	REF	ALT	C41D11.1d.1	WBGene00016561	eri-6	4.45656850699329
JU642_GZ_B10_C3_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1d.1	WBGene00016561	eri-6	3.43949344968264
JU642_GZ_B10_D4_ECA3101_pool2022	ECA3101	JU642	pool2022	REF	ALT	C41D11.1d.1	WBGene00016561	eri-6	5.82184380327316
JU642_GZ_B10_D5_ECA3102_pool2022	ECA3102	JU642	pool2022	REF	ALT	C41D11.1d.1	WBGene00016561	eri-6	5.13283523707189
JU642_GZ_B10_D6_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1d.1	WBGene00016561	eri-6	3.39682400879326
JU642_GZ_B10_E7_ECA3101_pool2022	ECA3101	JU642	pool2022	REF	ALT	C41D11.1d.1	WBGene00016561	eri-6	3.66779163991835
JU642_GZ_B10_E8_ECA3102_pool2022	ECA3102	JU642	pool2022	REF	ALT	C41D11.1d.1	WBGene00016561	eri-6	3.49045335719942
JU642_GZ_B10_E9_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1d.1	WBGene00016561	eri-6	2.82737743857348
JU642_GZ_B10_G1_ECA3101_pool2022	ECA3101	JU642	pool2022	REF	ALT	C41D11.1d.1	WBGene00016561	eri-6	4.31840473176879
JU642_GZ_B10_G2_ECA3102_pool2022	ECA3102	JU642	pool2022	REF	ALT	C41D11.1d.1	WBGene00016561	eri-6	2.76695282305805
JU642_GZ_B10_G3_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1d.1	WBGene00016561	eri-6	2.14738672405956
JU642_GZ_B10_H4_ECA3101_pool2022	ECA3101	JU642	pool2022	REF	ALT	C41D11.1d.1	WBGene00016561	eri-6	3.30587312691443
JU642_GZ_B10_H5_ECA3102_pool2022	ECA3102	JU642	pool2022	REF	ALT	C41D11.1d.1	WBGene00016561	eri-6	3.23816512969613
JU642_GZ_B10_H6_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1d.1	WBGene00016561	eri-6	4.48829328973806
JU2106_GZ_B10_A1_ECA3095_pool2022	ECA3095	JU2106	pool2022	REF	ALT	C41D11.1e.1	WBGene00016561	eri-6	0.0615198867171243
JU2106_GZ_B10_A4_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1e.1	WBGene00016561	eri-6	0.10163479212593
JU2106_GZ_B10_B4_ECA3095_pool2022	ECA3095	JU2106	pool2022	REF	ALT	C41D11.1e.1	WBGene00016561	eri-6	0.067855128803981
JU2106_GZ_B10_B7_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1e.1	WBGene00016561	eri-6	0.0597972492124867
JU2106_GZ_B10_C7_ECA3095_pool2022	ECA3095	JU2106	pool2022	REF	ALT	C41D11.1e.1	WBGene00016561	eri-6	0.0247314553800751
JU2106_GZ_B10_D1_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1e.1	WBGene00016561	eri-6	0.0923076078790774
JU2106_GZ_B10_D7_pool2022	JU2106	JU2106	pool2022	ALT	ALT	C41D11.1e.1	WBGene00016561	eri-6	0.0674440697861029
JU2106_GZ_B10_E1_ECA3095_pool2022	ECA3095	JU2106	pool2022	REF	ALT	C41D11.1e.1	WBGene00016561	eri-6	0.0511567642918902
JU2106_GZ_B10_E4_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1e.1	WBGene00016561	eri-6	0
JU2106_GZ_B10_F1_pool2022	JU2106	JU2106	pool2022	ALT	ALT	C41D11.1e.1	WBGene00016561	eri-6	0.0405273228330503
JU2106_GZ_B10_F4_ECA3095_pool2022	ECA3095	JU2106	pool2022	REF	ALT	C41D11.1e.1	WBGene00016561	eri-6	0.0719372832190552
JU2106_GZ_B10_F7_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1e.1	WBGene00016561	eri-6	0.0400049689640863
JU2106_GZ_B10_G4_pool2022	JU2106	JU2106	pool2022	ALT	ALT	C41D11.1e.1	WBGene00016561	eri-6	0.0638014147209804
JU2106_GZ_B10_H1_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1e.1	WBGene00016561	eri-6	0.0991216973026107
JU2106_GZ_B10_H7_pool2022	JU2106	JU2106	pool2022	ALT	ALT	C41D11.1e.1	WBGene00016561	eri-6	0.0676169407191039
JU2141_GZ_B10_A6_ECA3100_pool2022	ECA3100	JU2141	pool2022	ALT	REF	C41D11.1e.1	WBGene00016561	eri-6	0.527329253315421
JU2141_GZ_B10_B8_ECA3099_pool2022	ECA3099	JU2141	pool2022	ALT	REF	C41D11.1e.1	WBGene00016561	eri-6	0.599787968794846
JU2141_GZ_B10_B9_ECA3100_pool2022	ECA3100	JU2141	pool2022	ALT	REF	C41D11.1e.1	WBGene00016561	eri-6	0.594662381891024
JU2141_GZ_B10_C5_pool2022	JU2141	JU2141	pool2022	REF	REF	C41D11.1e.1	WBGene00016561	eri-6	0.481387222998183
JU2141_GZ_B10_D2_ECA3099_pool2022	ECA3099	JU2141	pool2022	ALT	REF	C41D11.1e.1	WBGene00016561	eri-6	0.827553262176952
JU2141_GZ_B10_D8_pool2022	JU2141	JU2141	pool2022	REF	REF	C41D11.1e.1	WBGene00016561	eri-6	0.791188711801985
JU2141_GZ_B10_E5_ECA3099_pool2022	ECA3099	JU2141	pool2022	ALT	REF	C41D11.1e.1	WBGene00016561	eri-6	0.948396321213581
JU2141_GZ_B10_E6_ECA3100_pool2022	ECA3100	JU2141	pool2022	ALT	REF	C41D11.1e.1	WBGene00016561	eri-6	0.727715633621515
JU2141_GZ_B10_G5_pool2022	JU2141	JU2141	pool2022	REF	REF	C41D11.1e.1	WBGene00016561	eri-6	0.619268277221233
JU2141_GZ_B10_H2_ECA3099_pool2022	ECA3099	JU2141	pool2022	ALT	REF	C41D11.1e.1	WBGene00016561	eri-6	1.04817169330074
JU2141_GZ_B10_H3_ECA3100_pool2022	ECA3100	JU2141	pool2022	ALT	REF	C41D11.1e.1	WBGene00016561	eri-6	0.818707773080413
JU2141_GZ_B10_H8_pool2022	JU2141	JU2141	pool2022	REF	REF	C41D11.1e.1	WBGene00016561	eri-6	0.800611767608329
JU3144_GZ_B10_A2_ECA3096_pool2022	ECA3096	JU3144	pool2022	ALT	REF	C41D11.1e.1	WBGene00016561	eri-6	0.870544332888141
JU3144_GZ_B10_A3_ECA3097_pool2022	ECA3097	JU3144	pool2022	ALT	REF	C41D11.1e.1	WBGene00016561	eri-6	0.459602189818458
JU3144_GZ_B10_B5_ECA3096_pool2022	ECA3096	JU3144	pool2022	ALT	REF	C41D11.1e.1	WBGene00016561	eri-6	0.733719174112321
JU3144_GZ_B10_C6_pool2022	JU3144	JU3144	pool2022	REF	REF	C41D11.1e.1	WBGene00016561	eri-6	0.679826708062477
JU3144_GZ_B10_C8_ECA3096_pool2022	ECA3096	JU3144	pool2022	ALT	REF	C41D11.1e.1	WBGene00016561	eri-6	0.619511192030499
JU3144_GZ_B10_C9_ECA3097_pool2022	ECA3097	JU3144	pool2022	ALT	REF	C41D11.1e.1	WBGene00016561	eri-6	0.684147254248338
JU3144_GZ_B10_D9_pool2022	JU3144	JU3144	pool2022	REF	REF	C41D11.1e.1	WBGene00016561	eri-6	0.660980321590805
JU3144_GZ_B10_F3_pool2022	JU3144	JU3144	pool2022	REF	REF	C41D11.1e.1	WBGene00016561	eri-6	0.78129580567304
JU3144_GZ_B10_F6_ECA3097_pool2022	ECA3097	JU3144	pool2022	ALT	REF	C41D11.1e.1	WBGene00016561	eri-6	0.678964663201689
JU3144_GZ_B10_G6_pool2022	JU3144	JU3144	pool2022	REF	REF	C41D11.1e.1	WBGene00016561	eri-6	0.814012372506479
JU3144_GZ_B10_G8_ECA3096_pool2022	ECA3096	JU3144	pool2022	ALT	REF	C41D11.1e.1	WBGene00016561	eri-6	0.836721650144375
JU3144_GZ_B10_G9_ECA3097_pool2022	ECA3097	JU3144	pool2022	ALT	REF	C41D11.1e.1	WBGene00016561	eri-6	0.783608726388992
JU3144_GZ_B10_H9_pool2022	JU3144	JU3144	pool2022	REF	REF	C41D11.1e.1	WBGene00016561	eri-6	1.10394846621541
JU642_GZ_B10_A9_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1e.1	WBGene00016561	eri-6	0.161247261426499
JU642_GZ_B10_C1_ECA3101_pool2022	ECA3101	JU642	pool2022	REF	ALT	C41D11.1e.1	WBGene00016561	eri-6	0.0686200604065995
JU642_GZ_B10_C2_ECA3102_pool2022	ECA3102	JU642	pool2022	REF	ALT	C41D11.1e.1	WBGene00016561	eri-6	0.103584832482211
JU642_GZ_B10_C3_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1e.1	WBGene00016561	eri-6	0
JU642_GZ_B10_D4_ECA3101_pool2022	ECA3101	JU642	pool2022	REF	ALT	C41D11.1e.1	WBGene00016561	eri-6	0.0427671976450389
JU642_GZ_B10_D5_ECA3102_pool2022	ECA3102	JU642	pool2022	REF	ALT	C41D11.1e.1	WBGene00016561	eri-6	0.12109733266649
JU642_GZ_B10_D6_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1e.1	WBGene00016561	eri-6	0.0956805953846516
JU642_GZ_B10_E7_ECA3101_pool2022	ECA3101	JU642	pool2022	REF	ALT	C41D11.1e.1	WBGene00016561	eri-6	0.055338431271244
JU642_GZ_B10_E8_ECA3102_pool2022	ECA3102	JU642	pool2022	REF	ALT	C41D11.1e.1	WBGene00016561	eri-6	0.111462145222737
JU642_GZ_B10_E9_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1e.1	WBGene00016561	eri-6	0.0263763874734082
JU642_GZ_B10_G1_ECA3101_pool2022	ECA3101	JU642	pool2022	REF	ALT	C41D11.1e.1	WBGene00016561	eri-6	0.0669415736105377
JU642_GZ_B10_G2_ECA3102_pool2022	ECA3102	JU642	pool2022	REF	ALT	C41D11.1e.1	WBGene00016561	eri-6	0.031327596883396
JU642_GZ_B10_G3_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1e.1	WBGene00016561	eri-6	0.0270787903791173
JU642_GZ_B10_H4_ECA3101_pool2022	ECA3101	JU642	pool2022	REF	ALT	C41D11.1e.1	WBGene00016561	eri-6	0.0892049474281437
JU642_GZ_B10_H5_ECA3102_pool2022	ECA3102	JU642	pool2022	REF	ALT	C41D11.1e.1	WBGene00016561	eri-6	0.0528893167601044
JU642_GZ_B10_H6_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1e.1	WBGene00016561	eri-6	0.074972867315872
JU2106_GZ_B10_A1_ECA3095_pool2022	ECA3095	JU2106	pool2022	REF	ALT	C41D11.1f.1	WBGene00016561	eri-6	0.106250210282063
JU2106_GZ_B10_A4_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1f.1	WBGene00016561	eri-6	0.13799987832733
JU2106_GZ_B10_B4_ECA3095_pool2022	ECA3095	JU2106	pool2022	REF	ALT	C41D11.1f.1	WBGene00016561	eri-6	0.0707148209439847
JU2106_GZ_B10_B7_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1f.1	WBGene00016561	eri-6	0.0811070216723596
JU2106_GZ_B10_C7_ECA3095_pool2022	ECA3095	JU2106	pool2022	REF	ALT	C41D11.1f.1	WBGene00016561	eri-6	0.134395339765731
JU2106_GZ_B10_D1_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1f.1	WBGene00016561	eri-6	0.107286487271784
JU2106_GZ_B10_D7_pool2022	JU2106	JU2106	pool2022	ALT	ALT	C41D11.1f.1	WBGene00016561	eri-6	0.0233568171869546
JU2106_GZ_B10_E1_ECA3095_pool2022	ECA3095	JU2106	pool2022	REF	ALT	C41D11.1f.1	WBGene00016561	eri-6	0.0734792422020685
JU2106_GZ_B10_E4_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1f.1	WBGene00016561	eri-6	0.0791425216914052
JU2106_GZ_B10_F1_pool2022	JU2106	JU2106	pool2022	ALT	ALT	C41D11.1f.1	WBGene00016561	eri-6	0.0549777157107386
JU2106_GZ_B10_F4_ECA3095_pool2022	ECA3095	JU2106	pool2022	REF	ALT	C41D11.1f.1	WBGene00016561	eri-6	0.12984305448644
JU2106_GZ_B10_F7_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1f.1	WBGene00016561	eri-6	0.055405145397762
JU2106_GZ_B10_G4_pool2022	JU2106	JU2106	pool2022	ALT	ALT	C41D11.1f.1	WBGene00016561	eri-6	0.25996698563939
JU2106_GZ_B10_H1_ECA3098_pool2022	ECA3098	JU2106	pool2022	REF	ALT	C41D11.1f.1	WBGene00016561	eri-6	0.1160602711117
JU2106_GZ_B10_H7_pool2022	JU2106	JU2106	pool2022	ALT	ALT	C41D11.1f.1	WBGene00016561	eri-6	0.0467965244214001
JU2141_GZ_B10_A6_ECA3100_pool2022	ECA3100	JU2141	pool2022	ALT	REF	C41D11.1f.1	WBGene00016561	eri-6	3.07645753161361
JU2141_GZ_B10_B8_ECA3099_pool2022	ECA3099	JU2141	pool2022	ALT	REF	C41D11.1f.1	WBGene00016561	eri-6	2.41332010391348
JU2141_GZ_B10_B9_ECA3100_pool2022	ECA3100	JU2141	pool2022	ALT	REF	C41D11.1f.1	WBGene00016561	eri-6	2.27947237980163
JU2141_GZ_B10_C5_pool2022	JU2141	JU2141	pool2022	REF	REF	C41D11.1f.1	WBGene00016561	eri-6	2.81305550780117
JU2141_GZ_B10_D2_ECA3099_pool2022	ECA3099	JU2141	pool2022	ALT	REF	C41D11.1f.1	WBGene00016561	eri-6	2.36782883834548
JU2141_GZ_B10_D8_pool2022	JU2141	JU2141	pool2022	REF	REF	C41D11.1f.1	WBGene00016561	eri-6	2.85247854926234
JU2141_GZ_B10_E5_ECA3099_pool2022	ECA3099	JU2141	pool2022	ALT	REF	C41D11.1f.1	WBGene00016561	eri-6	2.23437390893334
JU2141_GZ_B10_E6_ECA3100_pool2022	ECA3100	JU2141	pool2022	ALT	REF	C41D11.1f.1	WBGene00016561	eri-6	2.26427975437107
JU2141_GZ_B10_G5_pool2022	JU2141	JU2141	pool2022	REF	REF	C41D11.1f.1	WBGene00016561	eri-6	2.07110447414518
JU2141_GZ_B10_H2_ECA3099_pool2022	ECA3099	JU2141	pool2022	ALT	REF	C41D11.1f.1	WBGene00016561	eri-6	3.00642428838301
JU2141_GZ_B10_H3_ECA3100_pool2022	ECA3100	JU2141	pool2022	ALT	REF	C41D11.1f.1	WBGene00016561	eri-6	2.00168165056448
JU2141_GZ_B10_H8_pool2022	JU2141	JU2141	pool2022	REF	REF	C41D11.1f.1	WBGene00016561	eri-6	2.4582831181452
JU3144_GZ_B10_A2_ECA3096_pool2022	ECA3096	JU3144	pool2022	ALT	REF	C41D11.1f.1	WBGene00016561	eri-6	1.79233135428726
JU3144_GZ_B10_A3_ECA3097_pool2022	ECA3097	JU3144	pool2022	ALT	REF	C41D11.1f.1	WBGene00016561	eri-6	1.82598326794276
JU3144_GZ_B10_B5_ECA3096_pool2022	ECA3096	JU3144	pool2022	ALT	REF	C41D11.1f.1	WBGene00016561	eri-6	2.30821236758228
JU3144_GZ_B10_C6_pool2022	JU3144	JU3144	pool2022	REF	REF	C41D11.1f.1	WBGene00016561	eri-6	2.35318030796614
JU3144_GZ_B10_C8_ECA3096_pool2022	ECA3096	JU3144	pool2022	ALT	REF	C41D11.1f.1	WBGene00016561	eri-6	2.56842635954764
JU3144_GZ_B10_C9_ECA3097_pool2022	ECA3097	JU3144	pool2022	ALT	REF	C41D11.1f.1	WBGene00016561	eri-6	2.19318389616343
JU3144_GZ_B10_D9_pool2022	JU3144	JU3144	pool2022	REF	REF	C41D11.1f.1	WBGene00016561	eri-6	2.65640700032764
JU3144_GZ_B10_F3_pool2022	JU3144	JU3144	pool2022	REF	REF	C41D11.1f.1	WBGene00016561	eri-6	1.71512866510028
JU3144_GZ_B10_F6_ECA3097_pool2022	ECA3097	JU3144	pool2022	ALT	REF	C41D11.1f.1	WBGene00016561	eri-6	2.67854705258627
JU3144_GZ_B10_G6_pool2022	JU3144	JU3144	pool2022	REF	REF	C41D11.1f.1	WBGene00016561	eri-6	2.22541880062783
JU3144_GZ_B10_G8_ECA3096_pool2022	ECA3096	JU3144	pool2022	ALT	REF	C41D11.1f.1	WBGene00016561	eri-6	2.43874689540563
JU3144_GZ_B10_G9_ECA3097_pool2022	ECA3097	JU3144	pool2022	ALT	REF	C41D11.1f.1	WBGene00016561	eri-6	2.21665666059621
JU3144_GZ_B10_H9_pool2022	JU3144	JU3144	pool2022	REF	REF	C41D11.1f.1	WBGene00016561	eri-6	2.91476633571349
JU642_GZ_B10_A9_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1f.1	WBGene00016561	eri-6	0.268533215670524
JU642_GZ_B10_C1_ECA3101_pool2022	ECA3101	JU642	pool2022	REF	ALT	C41D11.1f.1	WBGene00016561	eri-6	0.163140098727017
JU642_GZ_B10_C2_ECA3102_pool2022	ECA3102	JU642	pool2022	REF	ALT	C41D11.1f.1	WBGene00016561	eri-6	0.123290291458883
JU642_GZ_B10_C3_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1f.1	WBGene00016561	eri-6	0.396068456060618
JU642_GZ_B10_D4_ECA3101_pool2022	ECA3101	JU642	pool2022	REF	ALT	C41D11.1f.1	WBGene00016561	eri-6	0
JU642_GZ_B10_D5_ECA3102_pool2022	ECA3102	JU642	pool2022	REF	ALT	C41D11.1f.1	WBGene00016561	eri-6	0.164967337079802
JU642_GZ_B10_D6_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1f.1	WBGene00016561	eri-6	0.28347573093231
JU642_GZ_B10_E7_ECA3101_pool2022	ECA3101	JU642	pool2022	REF	ALT	C41D11.1f.1	WBGene00016561	eri-6	0.0834398425793363
JU642_GZ_B10_E8_ECA3102_pool2022	ECA3102	JU642	pool2022	REF	ALT	C41D11.1f.1	WBGene00016561	eri-6	0.24322943019895
JU642_GZ_B10_E9_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1f.1	WBGene00016561	eri-6	0.035896241178146
JU642_GZ_B10_G1_ECA3101_pool2022	ECA3101	JU642	pool2022	REF	ALT	C41D11.1f.1	WBGene00016561	eri-6	0.0620347807758648
JU642_GZ_B10_G2_ECA3102_pool2022	ECA3102	JU642	pool2022	REF	ALT	C41D11.1f.1	WBGene00016561	eri-6	0.0213510130173651
JU642_GZ_B10_G3_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1f.1	WBGene00016561	eri-6	0.133194044425831
JU642_GZ_B10_H4_ECA3101_pool2022	ECA3101	JU642	pool2022	REF	ALT	C41D11.1f.1	WBGene00016561	eri-6	0.0856009365938116
JU642_GZ_B10_H5_ECA3102_pool2022	ECA3102	JU642	pool2022	REF	ALT	C41D11.1f.1	WBGene00016561	eri-6	0.0715778270218604
JU642_GZ_B10_H6_pool2022	JU642	JU642	pool2022	ALT	ALT	C41D11.1f.1	WBGene00016561	eri-6	0.108903139357542
JU2106_GZ_B2023_A1_pool2023	JU2106	JU2106	pool2023	ALT	ALT	C41D11.1a.1	WBGene00016561	eri-6	0.307676751616004
JU2106_GZ_B2023_A3_ECA3095_pool2023	ECA3095	ECA3095	pool2023	REF	ALT	C41D11.1a.1	WBGene00016561	eri-6	0.758095816851401
JU2106_GZ_B2023_A7_ECA3617_pool2023	ECA3617	JU2106	pool2023	ALT	REF	C41D11.1a.1	WBGene00016561	eri-6	0.329569241174951
JU2106_GZ_B2023_A8_ECA3618_pool2023	ECA3618	JU2106	pool2023	ALT	REF	C41D11.1a.1	WBGene00016561	eri-6	0.499772031146879
JU2106_GZ_B2023_B2_ECA3621_pool2023	ECA3621	ECA3095	pool2023	REF	REF	C41D11.1a.1	WBGene00016561	eri-6	0
JU2106_GZ_B2023_B3_ECA3622_pool2023	ECA3622	ECA3095	pool2023	REF	REF	C41D11.1a.1	WBGene00016561	eri-6	0.354190687593295
JU2106_GZ_B2023_B6_pool2023	JU2106	JU2106	pool2023	ALT	ALT	C41D11.1a.1	WBGene00016561	eri-6	0.853677332012034
JU2106_GZ_B2023_B8_ECA3095_pool2023	ECA3095	ECA3095	pool2023	REF	ALT	C41D11.1a.1	WBGene00016561	eri-6	0.715386672006715
JU2106_GZ_B2023_C3_ECA3617_pool2023	ECA3617	JU2106	pool2023	ALT	REF	C41D11.1a.1	WBGene00016561	eri-6	0.720702602609758
JU2106_GZ_B2023_C4_ECA3618_pool2023	ECA3618	JU2106	pool2023	ALT	REF	C41D11.1a.1	WBGene00016561	eri-6	0.353448435822648
JU2106_GZ_B2023_C7_ECA3621_pool2023	ECA3621	ECA3095	pool2023	REF	REF	C41D11.1a.1	WBGene00016561	eri-6	0
JU2106_GZ_B2023_C8_ECA3622_pool2023	ECA3622	ECA3095	pool2023	REF	REF	C41D11.1a.1	WBGene00016561	eri-6	0.856672112511502
JU2106_GZ_B2023_D2_pool2023	JU2106	JU2106	pool2023	ALT	ALT	C41D11.1a.1	WBGene00016561	eri-6	1.16322226662147
JU2106_GZ_B2023_D4_ECA3095_pool2023	ECA3095	ECA3095	pool2023	REF	ALT	C41D11.1a.1	WBGene00016561	eri-6	0.342723772046503
JU2106_GZ_B2023_D8_ECA3617_pool2023	ECA3617	JU2106	pool2023	ALT	REF	C41D11.1a.1	WBGene00016561	eri-6	1.03359346893018
JU2106_GZ_B2023_D9_ECA3618_pool2023	ECA3618	JU2106	pool2023	ALT	REF	C41D11.1a.1	WBGene00016561	eri-6	0.645409252524306
JU2106_GZ_B2023_E3_ECA3621_pool2023	ECA3621	ECA3095	pool2023	REF	REF	C41D11.1a.1	WBGene00016561	eri-6	0
JU2106_GZ_B2023_E4_ECA3622_pool2023	ECA3622	ECA3095	pool2023	REF	REF	C41D11.1a.1	WBGene00016561	eri-6	1.10821633174185
JU2106_GZ_B2023_E7_pool2023	JU2106	JU2106	pool2023	ALT	ALT	C41D11.1a.1	WBGene00016561	eri-6	0.282160543752914
JU2106_GZ_B2023_E9_ECA3095_pool2023	ECA3095	ECA3095	pool2023	REF	ALT	C41D11.1a.1	WBGene00016561	eri-6	0.176018904348828
JU2106_GZ_B2023_F4_ECA3617_pool2023	ECA3617	JU2106	pool2023	ALT	REF	C41D11.1a.1	WBGene00016561	eri-6	0.283312469394569
JU2106_GZ_B2023_F5_ECA3618_pool2023	ECA3618	JU2106	pool2023	ALT	REF	C41D11.1a.1	WBGene00016561	eri-6	0.26442664713253
JU2106_GZ_B2023_F8_ECA3621_pool2023	ECA3621	ECA3095	pool2023	REF	REF	C41D11.1a.1	WBGene00016561	eri-6	0
JU2106_GZ_B2023_F9_ECA3622_pool2023	ECA3622	ECA3095	pool2023	REF	REF	C41D11.1a.1	WBGene00016561	eri-6	0.267835377287028
JU3144_GZ_B2023_A2_pool2023	JU3144	JU3144	pool2023	REF	REF	C41D11.1a.1	WBGene00016561	eri-6	0.530837030022446
JU3144_GZ_B2023_A4_ECA3096_pool2023	ECA3096	ECA3096	pool2023	ALT	REF	C41D11.1a.1	WBGene00016561	eri-6	1.75455123048208
