strain	id	culture_year	edited	allele	condition	transcript	tpm
JU2106	GZ_B10_F7_ECA3098	2022	TRUE	REF	JU2106_edits	C41D11.1b.1	0
JU2106	GZ_B10_G4	2022	FALSE	ALT	JU2106	C41D11.1b.1	0.117685145982212
JU2106	GZ_B10_H1_ECA3098	2022	TRUE	REF	JU2106_edits	C41D11.1b.1	0.0393057966881528
JU2106	GZ_B10_H7	2022	FALSE	ALT	JU2106	C41D11.1b.1	0.169288320526603
JU2106	GZ_B3_D9	2017	FALSE	ALT	JU2106	C41D11.1b.1	0
JU2106	GZ_B5_B8	2017	FALSE	ALT	JU2106	C41D11.1b.1	0.373775029025895
JU2106	GZr_B3_B5	2017	FALSE	ALT	JU2106	C41D11.1b.1	0.204390070684804
JU2141	GZ_B10_A6_ECA3100	2022	TRUE	ALT	JU2141_edits	C41D11.1b.1	0.80059246431474
JU2141	GZ_B10_B8_ECA3099	2022	TRUE	ALT	JU2141_edits	C41D11.1b.1	0.133574808669328
JU2141	GZ_B10_B9_ECA3100	2022	TRUE	ALT	JU2141_edits	C41D11.1b.1	0.315971288554919
JU2141	GZ_B10_C5	2022	FALSE	REF	JU2141	C41D11.1b.1	0.382377304511801
JU2141	GZ_B10_D2_ECA3099	2022	TRUE	ALT	JU2141_edits	C41D11.1b.1	0.145683093461536
JU2141	GZ_B10_D8	2022	FALSE	REF	JU2141	C41D11.1b.1	0.160043152767502
JU2141	GZ_B10_E5_ECA3099	2022	TRUE	ALT	JU2141_edits	C41D11.1b.1	0.315408868493341
JU2141	GZ_B10_E6_ECA3100	2022	TRUE	ALT	JU2141_edits	C41D11.1b.1	0.197544608591684
JU2141	GZ_B10_G5	2022	FALSE	REF	JU2141	C41D11.1b.1	1.60958800678118e-07
JU2141	GZ_B10_H2_ECA3099	2022	TRUE	ALT	JU2141_edits	C41D11.1b.1	0.21673836923408
JU2141	GZ_B10_H3_ECA3100	2022	TRUE	ALT	JU2141_edits	C41D11.1b.1	0.0567173898308894
JU2141	GZ_B10_H8	2022	FALSE	REF	JU2141	C41D11.1b.1	0.343710542442533
JU2141	GZ_B2_A7	2017	FALSE	REF	JU2141	C41D11.1b.1	0.537932544919787
JU2141	GZ_B4_I1	2017	FALSE	REF	JU2141	C41D11.1b.1	0
JU2141	GZr_B2_D8	2017	FALSE	REF	JU2141	C41D11.1b.1	0.447874763770533
JU3144	GZ_B10_A2_ECA3096	2022	TRUE	ALT	JU3144_edits	C41D11.1b.1	0.105788006727462
JU3144	GZ_B10_A3_ECA3097	2022	TRUE	ALT	JU3144_edits	C41D11.1b.1	0.0888174155299706
JU3144	GZ_B10_B5_ECA3096	2022	TRUE	ALT	JU3144_edits	C41D11.1b.1	0.412313741974045
JU3144	GZ_B10_C6	2022	FALSE	REF	JU3144	C41D11.1b.1	0.0582888884179019
JU3144	GZ_B10_C8_ECA3096	2022	TRUE	ALT	JU3144_edits	C41D11.1b.1	0.516368318851548
JU3144	GZ_B10_C9_ECA3097	2022	TRUE	ALT	JU3144_edits	C41D11.1b.1	0.303161283218213
JU3144	GZ_B10_D9	2022	FALSE	REF	JU3144	C41D11.1b.1	0.259465868833998
JU3144	GZ_B10_F3	2022	FALSE	REF	JU3144	C41D11.1b.1	4.45369365780862e-05
JU3144	GZ_B10_F6_ECA3097	2022	TRUE	ALT	JU3144_edits	C41D11.1b.1	0.477712902013227
JU3144	GZ_B10_G6	2022	FALSE	REF	JU3144	C41D11.1b.1	0.276127051014553
JU3144	GZ_B10_G8_ECA3096	2022	TRUE	ALT	JU3144_edits	C41D11.1b.1	0.107627481288121
JU3144	GZ_B10_G9_ECA3097	2022	TRUE	ALT	JU3144_edits	C41D11.1b.1	0.351507089077635
JU3144	GZ_B10_H9	2022	FALSE	REF	JU3144	C41D11.1b.1	0
JU3144	GZ_B2_F6	2017	FALSE	REF	JU3144	C41D11.1b.1	0.12085485105715
JU3144	GZ_B5_A2	2017	FALSE	REF	JU3144	C41D11.1b.1	0.562727853732269
JU642	GZ_B10_A9	2022	FALSE	ALT	JU642	C41D11.1b.1	0
JU642	GZ_B10_C1_ECA3101	2022	TRUE	REF	JU642_edits	C41D11.1b.1	0
JU642	GZ_B10_C2_ECA3102	2022	TRUE	REF	JU642_edits	C41D11.1b.1	0.152119419620808
JU642	GZ_B10_C3	2022	FALSE	ALT	JU642	C41D11.1b.1	0
JU642	GZ_B10_D4_ECA3101	2022	TRUE	REF	JU642_edits	C41D11.1b.1	0
JU642	GZ_B10_D5_ECA3102	2022	TRUE	REF	JU642_edits	C41D11.1b.1	0
JU642	GZ_B10_E8_ECA3102	2022	TRUE	REF	JU642_edits	C41D11.1b.1	0.200320218064064
JU642	GZ_B10_E9	2022	FALSE	ALT	JU642	C41D11.1b.1	0
JU642	GZ_B10_G1_ECA3101	2022	TRUE	REF	JU642_edits	C41D11.1b.1	0.0727317886633025
JU642	GZ_B10_G2_ECA3102	2022	TRUE	REF	JU642_edits	C41D11.1b.1	0.134722071071294
JU642	GZ_B10_G3	2022	FALSE	ALT	JU642	C41D11.1b.1	0.0175674758740069
JU642	GZ_B10_H4_ECA3101	2022	TRUE	REF	JU642_edits	C41D11.1b.1	0.0381224135938241
JU642	GZ_B10_H5_ECA3102	2022	TRUE	REF	JU642_edits	C41D11.1b.1	0.186483763290163
JU642	GZ_B10_H6	2022	FALSE	ALT	JU642	C41D11.1b.1	0
JU642	GZ_B7_A6	2017	FALSE	ALT	JU642	C41D11.1b.1	0.489226031374032
JU642	GZ_B7_D2	2017	FALSE	ALT	JU642	C41D11.1b.1	0
JU642	GZr_B5_I2	2017	FALSE	ALT	JU642	C41D11.1b.1	0.282204898619747
JU2106	GZ_B10_A1_ECA3095	2022	TRUE	REF	JU2106_edits	C41D11.1c.1	5.59563757838022
JU2106	GZ_B10_A4_ECA3098	2022	TRUE	REF	JU2106_edits	C41D11.1c.1	8.42623898261649
JU2106	GZ_B10_B4_ECA3095	2022	TRUE	REF	JU2106_edits	C41D11.1c.1	9.91441120531852
JU2106	GZ_B10_B7_ECA3098	2022	TRUE	REF	JU2106_edits	C41D11.1c.1	10.8151079387095
JU2106	GZ_B10_C7_ECA3095	2022	TRUE	REF	JU2106_edits	C41D11.1c.1	9.92985034083579
JU2106	GZ_B10_D1_ECA3098	2022	TRUE	REF	JU2106_edits	C41D11.1c.1	8.84511890747131
JU2106	GZ_B10_D7	2022	FALSE	ALT	JU2106	C41D11.1c.1	9.91580216288299
JU2106	GZ_B10_E1_ECA3095	2022	TRUE	REF	JU2106_edits	C41D11.1c.1	10.6843850535986
JU2106	GZ_B10_E4_ECA3098	2022	TRUE	REF	JU2106_edits	C41D11.1c.1	12.0880191632678
JU2106	GZ_B10_F1	2022	FALSE	ALT	JU2106	C41D11.1c.1	11.3194899492711
JU2106	GZ_B10_F4_ECA3095	2022	TRUE	REF	JU2106_edits	C41D11.1c.1	8.11656233705786
