strain	zone	zone_mean	hap_inv	haplotype_2	inversion
DL200	sosi1	163.448666263678	N2-like	AB1	N2-like
DL200	eri6e	164.779108355853	N2-like	AB1	N2-like
DL200	eri6f	117.176288957168	N2-like	AB1	N2-like
DL200	eri6f3utr	86.0904507473199	N2-like	AB1	N2-like
DL226	TIR1	131.149480770186	N2-like	AB1	N2-like
DL226	TIR2	130.356995165735	N2-like	AB1	N2-like
DL226	sosi1	159.31411626892	N2-like	AB1	N2-like
DL226	eri6e	168.905985920326	N2-like	AB1	N2-like
DL226	eri6f	109.017380226348	N2-like	AB1	N2-like
DL226	eri6f3utr	87.7846285407629	N2-like	AB1	N2-like
DL238	TIR1	88.5412428344325	CB4856-like	CB4856	CB4856-like
DL238	TIR2	71.0002029531962	CB4856-like	CB4856	CB4856-like
DL238	sosi1	221.772977302439	CB4856-like	CB4856	CB4856-like
DL238	eri6e	215.354632808228	CB4856-like	CB4856	CB4856-like
DL238	eri6f	103.348466977178	CB4856-like	CB4856	CB4856-like
DL238	eri6f3utr	78.5523662651202	CB4856-like	CB4856	CB4856-like
ECA1069	TIR1	96.5814971119991	JU2526	JU2526	INVsosi-1
ECA1069	TIR2	117.075892425623	JU2526	JU2526	INVsosi-1
ECA1069	sosi1	176.989823578964	JU2526	JU2526	INVsosi-1
ECA1069	eri6e	107.733312072467	JU2526	JU2526	INVsosi-1
ECA1069	eri6f	123.285371071266	JU2526	JU2526	INVsosi-1
ECA1069	eri6f3utr	90.9302735131066	JU2526	JU2526	INVsosi-1
ECA1074	TIR1	101.544336143764	JU2526	JU2526	INVsosi-1
ECA1074	TIR2	122.646324933501	JU2526	JU2526	INVsosi-1
ECA1074	sosi1	167.913065692911	JU2526	JU2526	INVsosi-1
ECA1074	eri6e	97.3749796458726	JU2526	JU2526	INVsosi-1
ECA1074	eri6f	111.219728245669	JU2526	JU2526	INVsosi-1
ECA1074	eri6f3utr	76.2931829601205	JU2526	JU2526	INVsosi-1
ECA1185	TIR1	14.3405418751611	ANCeri-7	ECA1238	ANCeri-7
ECA1185	TIR2	22.8055538194421	ANCeri-7	ECA1238	ANCeri-7
ECA1185	sosi1	178.969090973944	ANCeri-7	ECA1238	ANCeri-7
ECA1185	eri6e	101.608377200969	ANCeri-7	ECA1238	ANCeri-7
ECA1185	eri6f	101.187925616419	ANCeri-7	ECA1238	ANCeri-7
ECA1185	eri6f3utr	88.6661293510789	ANCeri-7	ECA1238	ANCeri-7
ECA1186	TIR1	66.9536325118816	ANCeri-7	CB4856	ANCeri-7
ECA1186	TIR2	46.6325157743573	ANCeri-7	CB4856	ANCeri-7
ECA1186	sosi1	121.206774877513	ANCeri-7	CB4856	ANCeri-7
ECA1186	eri6e	96.1392203383483	ANCeri-7	CB4856	ANCeri-7
ECA1186	eri6f	109.338240936808	ANCeri-7	CB4856	ANCeri-7
ECA1186	eri6f3utr	115.590984046838	ANCeri-7	CB4856	ANCeri-7
ECA1187	TIR1	38.5162212673935	ANCeri-7	ECA1187,ECA1238	ANCeri-7
ECA1187	TIR2	48.2909965892264	ANCeri-7	ECA1187,ECA1238	ANCeri-7
ECA1187	sosi1	225.115278800168	ANCeri-7	ECA1187,ECA1238	ANCeri-7
ECA1187	eri6e	104.970722633367	ANCeri-7	ECA1187,ECA1238	ANCeri-7
ECA1187	eri6f	101.627549233197	ANCeri-7	ECA1187,ECA1238	ANCeri-7
ECA1187	eri6f3utr	91.1238440222865	ANCeri-7	ECA1187,ECA1238	ANCeri-7
ECA1191	TIR1	4.26050744514255	ANCeri-7	ECA1187,ECA1238	ANCeri-7
ECA1191	TIR2	9.72140922864141	ANCeri-7	ECA1187,ECA1238	ANCeri-7
ECA1191	sosi1	104.461707178871	ANCeri-7	ECA1187,ECA1238	ANCeri-7
ECA1191	eri6e	109.188564026828	ANCeri-7	ECA1187,ECA1238	ANCeri-7
ECA1191	eri6f	100.014496356762	ANCeri-7	ECA1187,ECA1238	ANCeri-7
ECA1191	eri6f3utr	114.145943729097	ANCeri-7	ECA1187,ECA1238	ANCeri-7
ECA1192	TIR1	0.316801375392775	ANCeri-7	ECA1238	ANCeri-7
ECA1192	TIR2	0.236391597087002	ANCeri-7	ECA1238	ANCeri-7
ECA1192	sosi1	147.795559865259	ANCeri-7	ECA1238	ANCeri-7
ECA1192	eri6e	131.949973149395	ANCeri-7	ECA1238	ANCeri-7
ECA1192	eri6f	159.54835916615	ANCeri-7	ECA1238	ANCeri-7
ECA1192	eri6f3utr	133.199585522676	ANCeri-7	ECA1238	ANCeri-7
ECA1193	TIR1	4.15663343264427	ANCeri-7	ECA1187,ECA1238	ANCeri-7
ECA1193	TIR2	2.79157199563273	ANCeri-7	ECA1187,ECA1238	ANCeri-7
ECA1193	sosi1	108.293779463389	ANCeri-7	ECA1187,ECA1238	ANCeri-7
ECA1193	eri6e	134.693430953215	ANCeri-7	ECA1187,ECA1238	ANCeri-7
ECA1193	eri6f	98.3985244580976	ANCeri-7	ECA1187,ECA1238	ANCeri-7
ECA1193	eri6f3utr	94.2139948271242	ANCeri-7	ECA1187,ECA1238	ANCeri-7
ECA1194	TIR1	2.31431386930016	ANCeri-7	ECA1238	ANCeri-7
ECA1194	TIR2	1.93147453505805	ANCeri-7	ECA1238	ANCeri-7
ECA1194	sosi1	110.973250168389	ANCeri-7	ECA1238	ANCeri-7
ECA1194	eri6e	147.518887987159	ANCeri-7	ECA1238	ANCeri-7
ECA1194	eri6f	106.572387155491	ANCeri-7	ECA1238	ANCeri-7
ECA1194	eri6f3utr	102.696827534502	ANCeri-7	ECA1238	ANCeri-7
ECA1195	TIR1	14.0010706705239	ANCeri-7	ECA1187,ECA1238	ANCeri-7
ECA1195	TIR2	14.3744202521545	ANCeri-7	ECA1187,ECA1238	ANCeri-7
ECA1195	sosi1	128.066606806971	ANCeri-7	ECA1187,ECA1238	ANCeri-7
ECA1195	eri6e	102.089148697307	ANCeri-7	ECA1187,ECA1238	ANCeri-7
ECA1195	eri6f	107.019156751431	ANCeri-7	ECA1187,ECA1238	ANCeri-7
ECA1195	eri6f3utr	123.673942925828	ANCeri-7	ECA1187,ECA1238	ANCeri-7
ECA1196	TIR1	13.0716849991156	ANCeri-7	ECA1238	ANCeri-7
ECA1196	TIR2	21.6421672547062	ANCeri-7	ECA1238	ANCeri-7
ECA1196	sosi1	148.967518673019	ANCeri-7	ECA1238	ANCeri-7
ECA1196	eri6e	102.318393164219	ANCeri-7	ECA1238	ANCeri-7
ECA1196	eri6f	137.456930950313	ANCeri-7	ECA1238	ANCeri-7
ECA1196	eri6f3utr	113.924712351709	ANCeri-7	ECA1238	ANCeri-7
ECA1200	TIR1	106.186546829621	N2-like	AB1	N2-like
ECA1200	TIR2	154.107717247756	N2-like	AB1	N2-like
ECA1200	sosi1	105.626388283951	N2-like	AB1	N2-like
ECA1200	eri6e	93.6468878242627	N2-like	AB1	N2-like
ECA1200	eri6f	90.2414228081578	N2-like	AB1	N2-like
ECA1200	eri6f3utr	72.8114793492641	N2-like	AB1	N2-like
ECA1202	TIR1	101.713996364245	ECA396	ECA396	INVsosi-1
ECA1202	TIR2	47.3204832030689	ECA396	ECA396	INVsosi-1
ECA1202	sosi1	196.266360574336	ECA396	ECA396	INVsosi-1
ECA1202	eri6e	99.3088938531627	ECA396	ECA396	INVsosi-1
ECA1202	eri6f	81.7930686441799	ECA396	ECA396	INVsosi-1
ECA1202	eri6f3utr	68.5517931870831	ECA396	ECA396	INVsosi-1
ECA1206	TIR1	3.64200925831172	ECA2489	ECA2489	ANCeri-7
ECA1206	TIR2	2.28605923937213	ECA2489	ECA2489	ANCeri-7
ECA1206	sosi1	0	ECA2489	ECA2489	ANCeri-7
ECA1206	eri6e	0	ECA2489	ECA2489	ANCeri-7
ECA1206	eri6f	0.785128438303427	ECA2489	ECA2489	ANCeri-7
ECA1206	eri6f3utr	0	ECA2489	ECA2489	ANCeri-7
ECA1208	TIR1	115.105698818025	ECA396	ECA396	INVsosi-1
ECA1208	TIR2	71.3318596327254	ECA396	ECA396	INVsosi-1
ECA1208	sosi1	187.328937329247	ECA396	ECA396	INVsosi-1
ECA1208	eri6e	77.6154708856467	ECA396	ECA396	INVsosi-1
ECA1208	eri6f	105.374046716862	ECA396	ECA396	INVsosi-1
ECA1208	eri6f3utr	95.5693989255803	ECA396	ECA396	INVsosi-1
ECA1212	TIR1	118.506203588049	ECA396	ECA396	INV ?
ECA1212	TIR2	71.5583464270806	ECA396	ECA396	INV ?
ECA1212	sosi1	178.545511304318	ECA396	ECA396	INV ?
ECA1212	eri6e	91.4677028681079	ECA396	ECA396	INV ?
ECA1212	eri6f	112.66958773501	ECA396	ECA396	INV ?
ECA1212	eri6f3utr	88.6309593614133	ECA396	ECA396	INV ?
ECA1216	TIR1	14.4621925094274	ANCeri-7	ECA1969	ANCeri-7
ECA1216	TIR2	37.9405328259585	ANCeri-7	ECA1969	ANCeri-7
ECA1216	sosi1	114.290531788122	ANCeri-7	ECA1969	ANCeri-7
ECA1216	eri6e	107.064203700221	ANCeri-7	ECA1969	ANCeri-7
ECA1216	eri6f	114.324977183333	ANCeri-7	ECA1969	ANCeri-7
ECA1216	eri6f3utr	83.2305583410031	ANCeri-7	ECA1969	ANCeri-7
ECA1223	TIR1	119.243567124686	ECA396	ECA396	INV ?
ECA1223	TIR2	72.7366409384987	ECA396	ECA396	INV ?
ECA1223	sosi1	184.777967460163	ECA396	ECA396	INV ?
ECA1223	eri6e	90.0271775789685	ECA396	ECA396	INV ?
ECA1223	eri6f	68.8467935191847	ECA396	ECA396	INV ?
ECA1223	eri6f3utr	78.4365481251629	ECA396	ECA396	INV ?
ECA1225	TIR1	116.063112843146	ECA396	ECA396	INV ?
ECA1225	TIR2	62.7731462912566	ECA396	ECA396	INV ?
ECA1225	sosi1	169.532888672852	ECA396	ECA396	INV ?
ECA1225	eri6e	93.4417709249575	ECA396	ECA396	INV ?
ECA1225	eri6f	97.5970086896871	ECA396	ECA396	INV ?
ECA1225	eri6f3utr	82.9685133304367	ECA396	ECA396	INV ?
ECA1228	TIR1	18.569528927161	ANCeri-7	ECA1969	ANCeri-7
ECA1228	TIR2	27.7516015057346	ANCeri-7	ECA1969	ANCeri-7
ECA1228	sosi1	109.526545683115	ANCeri-7	ECA1969	ANCeri-7
ECA1228	eri6e	94.4638894846953	ANCeri-7	ECA1969	ANCeri-7
ECA1228	eri6f	98.6288790408498	ANCeri-7	ECA1969	ANCeri-7
ECA1228	eri6f3utr	132.091137725578	ANCeri-7	ECA1969	ANCeri-7
ECA1229	TIR1	23.3448606279476	ANCeri-7	ECA1969	ANCeri-7
ECA1229	TIR2	21.9245170467855	ANCeri-7	ECA1969	ANCeri-7
ECA1229	sosi1	171.819894718096	ANCeri-7	ECA1969	ANCeri-7
ECA1229	eri6e	103.220390796384	ANCeri-7	ECA1969	ANCeri-7
ECA1229	eri6f	93.2700303362364	ANCeri-7	ECA1969	ANCeri-7
ECA1229	eri6f3utr	89.5346187270961	ANCeri-7	ECA1969	ANCeri-7
ECA1232	TIR1	57.5124737941028	ANCeri-7	ECA1238	ANCeri-7
ECA1232	TIR2	75.2152526780224	ANCeri-7	ECA1238	ANCeri-7
ECA1232	sosi1	137.12579454608	ANCeri-7	ECA1238	ANCeri-7
ECA1232	eri6e	103.694814371643	ANCeri-7	ECA1238	ANCeri-7
ECA1232	eri6f	109.323625338952	ANCeri-7	ECA1238	ANCeri-7
ECA1232	eri6f3utr	84.2816750575917	ANCeri-7	ECA1238	ANCeri-7
ECA1237	TIR1	2.79140946219031	ANCeri-7	ECA1237,ECA1969	ANCeri-7
ECA1237	TIR2	3.3639149883517	ANCeri-7	ECA1237,ECA1969	ANCeri-7
ECA1237	sosi1	113.598631609377	ANCeri-7	ECA1237,ECA1969	ANCeri-7
ECA1237	eri6e	113.254787127683	ANCeri-7	ECA1237,ECA1969	ANCeri-7
ECA1237	eri6f	104.250886118702	ANCeri-7	ECA1237,ECA1969	ANCeri-7
ECA1237	eri6f3utr	86.7330069912751	ANCeri-7	ECA1237,ECA1969	ANCeri-7
ECA1238	TIR1	14.8988647765432	ANCeri-7	ECA1238	ANCeri-7
ECA1238	TIR2	19.782052156448	ANCeri-7	ECA1238	ANCeri-7
ECA1238	sosi1	164.293788795668	ANCeri-7	ECA1238	ANCeri-7
ECA1238	eri6e	94.8960244915942	ANCeri-7	ECA1238	ANCeri-7
ECA1238	eri6f	124.405622866543	ANCeri-7	ECA1238	ANCeri-7
ECA1238	eri6f3utr	101.168695160749	ANCeri-7	ECA1238	ANCeri-7
ECA1240	TIR1	20.8125683095486	ANCeri-7	ECA1187,ECA1238	ANCeri-7
ECA1240	TIR2	16.3244903572863	ANCeri-7	ECA1187,ECA1238	ANCeri-7
ECA1240	sosi1	183.212617059447	ANCeri-7	ECA1187,ECA1238	ANCeri-7
ECA1240	eri6e	84.3624735254169	ANCeri-7	ECA1187,ECA1238	ANCeri-7
ECA1240	eri6f	89.5645537861446	ANCeri-7	ECA1187,ECA1238	ANCeri-7
ECA1240	eri6f3utr	111.145376162352	ANCeri-7	ECA1187,ECA1238	ANCeri-7
ECA1242	TIR1	4.56641666744568	ANCeri-7	ECA1238	ANCeri-7
ECA1242	TIR2	5.92934844531598	ANCeri-7	ECA1238	ANCeri-7
ECA1242	sosi1	151.277454278624	ANCeri-7	ECA1238	ANCeri-7
ECA1242	eri6e	78.9425167692571	ANCeri-7	ECA1238	ANCeri-7
ECA1242	eri6f	123.289721472602	ANCeri-7	ECA1238	ANCeri-7
ECA1242	eri6f3utr	102.915817003782	ANCeri-7	ECA1238	ANCeri-7
ECA1243	TIR1	90.1161788197475	CB4856-like	CB4856	CB4856-like
ECA1243	TIR2	56.9377684573364	CB4856-like	CB4856	CB4856-like
ECA1243	sosi1	114.04743015803	CB4856-like	CB4856	CB4856-like
ECA1243	eri6e	114.03931121689	CB4856-like	CB4856	CB4856-like
ECA1243	eri6f	105.702743174444	CB4856-like	CB4856	CB4856-like
ECA1243	eri6f3utr	117.152485416777	CB4856-like	CB4856	CB4856-like
ECA1247	TIR1	95.7809631289086	ECA396	ECA396	INVsosi-1
ECA1247	TIR2	88.3339114230809	ECA396	ECA396	INVsosi-1
ECA1247	sosi1	204.962452028447	ECA396	ECA396	INVsosi-1
ECA1247	eri6e	89.3460023750125	ECA396	ECA396	INVsosi-1
ECA1247	eri6f	84.874635007691	ECA396	ECA396	INVsosi-1
ECA1247	eri6f3utr	86.5069624011385	ECA396	ECA396	INVsosi-1
ECA1251	TIR1	23.2971204453194	ANCeri-7	ECA1238	ANCeri-7
ECA1251	TIR2	19.53183579718	ANCeri-7	ECA1238	ANCeri-7
ECA1251	sosi1	162.938362758181	ANCeri-7	ECA1238	ANCeri-7
ECA1251	eri6e	112.225511670264	ANCeri-7	ECA1238	ANCeri-7
ECA1251	eri6f	69.0110544587908	ANCeri-7	ECA1238	ANCeri-7
ECA1251	eri6f3utr	71.9572363148514	ANCeri-7	ECA1238	ANCeri-7
ECA1252	TIR1	0.921904847770145	ANCeri-7	ECA1238	ANCeri-7
ECA1252	TIR2	1.53969190654983	ANCeri-7	ECA1238	ANCeri-7
ECA1252	sosi1	167.470686526881	ANCeri-7	ECA1238	ANCeri-7
ECA1252	eri6e	119.839719072242	ANCeri-7	ECA1238	ANCeri-7
ECA1252	eri6f	111.908831769038	ANCeri-7	ECA1238	ANCeri-7
ECA1252	eri6f3utr	101.319899426872	ANCeri-7	ECA1238	ANCeri-7
ECA1253	TIR1	11.4089925301736	ANCeri-7	ECA1238	ANCeri-7
ECA1253	TIR2	15.4710550157841	ANCeri-7	ECA1238	ANCeri-7
ECA1253	sosi1	202.34042457774	ANCeri-7	ECA1238	ANCeri-7
ECA1253	eri6e	124.525940980543	ANCeri-7	ECA1238	ANCeri-7
ECA1253	eri6f	105.804125734423	ANCeri-7	ECA1238	ANCeri-7
ECA1253	eri6f3utr	79.4388553810036	ANCeri-7	ECA1238	ANCeri-7
ECA1255	TIR1	124.057523164019	N2-like	AB1	N2-like
ECA1255	TIR2	138.389125834821	N2-like	AB1	N2-like
ECA1255	sosi1	92.8129614935308	N2-like	AB1	N2-like
ECA1255	eri6e	83.3510414105581	N2-like	AB1	N2-like
ECA1255	eri6f	61.9040015285511	N2-like	AB1	N2-like
ECA1255	eri6f3utr	87.8129126320423	N2-like	AB1	N2-like
ECA1257	TIR1	96.0821073261398	N2-like	AB1	N2-like
ECA1257	TIR2	120.271787554543	N2-like	AB1	N2-like
ECA1257	sosi1	110.354058191539	N2-like	AB1	N2-like
ECA1257	eri6e	98.3524072033808	N2-like	AB1	N2-like
ECA1257	eri6f	117.935532991117	N2-like	AB1	N2-like
ECA1257	eri6f3utr	88.6241272704513	N2-like	AB1	N2-like
ECA1260	TIR1	16.1711664004671	unknown	unknown	ANCeri-7
ECA1260	TIR2	24.0893617906778	unknown	unknown	ANCeri-7
ECA1260	sosi1	0	unknown	unknown	ANCeri-7
ECA1260	eri6e	0	unknown	unknown	ANCeri-7
ECA1260	eri6f	2.86750695780003	unknown	unknown	ANCeri-7
ECA1260	eri6f3utr	0.507991878968176	unknown	unknown	ANCeri-7
ECA1261	TIR1	6.29777682525931	ECA396	ECA396	ANCeri-7
ECA1261	TIR2	8.61249600220428	ECA396	ECA396	ANCeri-7
ECA1261	sosi1	94.9567917422057	ECA396	ECA396	ANCeri-7
ECA1261	eri6e	0	ECA396	ECA396	ANCeri-7
ECA1261	eri6f	0.102861721040666	ECA396	ECA396	ANCeri-7
ECA1261	eri6f3utr	0	ECA396	ECA396	ANCeri-7
ECA1269	TIR1	74.539338717827	CB4856-like	CB4856	CB4856-like
ECA1269	TIR2	53.0097177548267	CB4856-like	CB4856	CB4856-like
ECA1269	sosi1	112.566248517383	CB4856-like	CB4856	CB4856-like
ECA1269	eri6e	117.364665698113	CB4856-like	CB4856	CB4856-like
ECA1269	eri6f	125.394165369244	CB4856-like	CB4856	CB4856-like
ECA1269	eri6f3utr	86.6013400184556	CB4856-like	CB4856	CB4856-like
ECA1271	TIR1	86.7363107471563	CB4856-like	CB4856	CB4856-like
ECA1271	TIR2	66.3351051812033	CB4856-like	CB4856	CB4856-like
ECA1271	sosi1	105.026378925135	CB4856-like	CB4856	CB4856-like
ECA1271	eri6e	98.6179035461816	CB4856-like	CB4856	CB4856-like
ECA1271	eri6f	77.4582570910371	CB4856-like	CB4856	CB4856-like
ECA1271	eri6f3utr	114.352596208814	CB4856-like	CB4856	CB4856-like
ECA1276	TIR1	134.769688283744	ECA396	ECA396	INV ?
ECA1276	TIR2	56.7821261464899	ECA396	ECA396	INV ?
ECA1276	sosi1	182.995966636478	ECA396	ECA396	INV ?
ECA1276	eri6e	96.908335531762	ECA396	ECA396	INV ?
ECA1276	eri6f	85.3960435170661	ECA396	ECA396	INV ?
ECA1276	eri6f3utr	73.4828097719381	ECA396	ECA396	INV ?
ECA1278	TIR1	2.79203648958809	ANCeri-7	ECA1969	ANCeri-7
ECA1278	TIR2	1.75291461038608	ANCeri-7	ECA1969	ANCeri-7
ECA1278	sosi1	134.751832668251	ANCeri-7	ECA1969	ANCeri-7
ECA1278	eri6e	133.505932522258	ANCeri-7	ECA1969	ANCeri-7
ECA1278	eri6f	89.8375355591707	ANCeri-7	ECA1969	ANCeri-7
ECA1278	eri6f3utr	161.594503561978	ANCeri-7	ECA1969	ANCeri-7
ECA1281	TIR1	15.6352441000074	ANCeri-7	ECA1969	ANCeri-7
ECA1281	TIR2	20.1713312795986	ANCeri-7	ECA1969	ANCeri-7
ECA1281	sosi1	187.164486050522	ANCeri-7	ECA1969	ANCeri-7
ECA1281	eri6e	99.8671138880683	ANCeri-7	ECA1969	ANCeri-7
ECA1281	eri6f	110.487661857121	ANCeri-7	ECA1969	ANCeri-7
ECA1281	eri6f3utr	128.7918231154	ANCeri-7	ECA1969	ANCeri-7
ECA1283	TIR1	6.05564036939809	ANCeri-7	ECA1969	ANCeri-7
ECA1283	TIR2	2.27961507359848	ANCeri-7	ECA1969	ANCeri-7
ECA1283	sosi1	180.343376086145	ANCeri-7	ECA1969	ANCeri-7
ECA1283	eri6e	102.222158218417	ANCeri-7	ECA1969	ANCeri-7
ECA1283	eri6f	105.098372708196	ANCeri-7	ECA1969	ANCeri-7
ECA1283	eri6f3utr	120.536641308678	ANCeri-7	ECA1969	ANCeri-7
ECA1284	TIR1	90.956905110859	ECA396	ECA396	INV ?
ECA1284	TIR2	53.7307633125533	ECA396	ECA396	INV ?
ECA1284	sosi1	185.136283667623	ECA396	ECA396	INV ?
ECA1284	eri6e	81.4098407902825	ECA396	ECA396	INV ?
ECA1284	eri6f	136.10983913446	ECA396	ECA396	INV ?
ECA1284	eri6f3utr	101.973106990582	ECA396	ECA396	INV ?
ECA1286	TIR1	3.53527620010264	ECA396	ECA396	ANCeri-7
ECA1286	TIR2	3.31633050632974	ECA396	ECA396	ANCeri-7
ECA1286	sosi1	264.501486948814	ECA396	ECA396	ANCeri-7
ECA1286	eri6e	0	ECA396	ECA396	ANCeri-7
